,Source language,Translation 1
73,"( ∃ x Pet ( a ) ∧ Person ( a ) ) → ∀ x ( SameSize ( a , x ) → SameRow ( b , x ) )","if there is an element x such that a is a pet and a is a person , then for all x , if a is of the same size as x , then b is in the same row as x"
74,"∃ x ( ( Smaller ( a , x ) ∧ Even ( b ) ) ∧ ∀ x Medium ( a ) )","there is an element x such that a is smaller than x , b is even and for all x , a is medium"
75,"∀ x ∀ x Smaller ( a , a ) ∨ ( ∀ x Student ( x ) ∧ ( RightOf ( b , c ) ∧ Small ( a ) ) )","at least one of these holds : \n\t• for all x , for all x , a is smaller than itself \n\t• for all x , x is a student , b is to the right of c and a is small"
76,"¬ ( SameShape ( a , a ) ∧ Medium ( a ) ) ∧ ∃ x ( RightOf ( x , a ) → Pet ( b ) )","it is not the case that a is of the same shape as itself and a is medium and there is an element x such that if x is to the right of a , then b is a pet"
77,∃ x ( ∃ x Cube ( a ) ∧ ¬ Medium ( a ) ),there is an element x such that there is an element x such that a is a cube and a is not medium
78,( ( Small ( a ) ∧ Tet ( b ) ) ∧ ∀ x Small ( a ) ) → ( ( Small ( b ) ∧ Tet ( b ) ) ∨ Student ( b ) ),"if a is small , b is a tetrahedron and for all x , a is small , then at least one of these holds : \n\t• b is small and b is a tetrahedron \n\t• b is a student"
79,Large ( a ) → ¬ ( Small ( a ) ∧ Person ( b ) ),"if a is large , then it is not the case that a is small and b is a person"
80,"SameShape ( a , b ) ∧ ¬ ∃ x Medium ( a )",a is of the same shape as b and it is not the case that there is an element x such that a is medium
81,"∀ x ( Prime ( a ) → SameCol ( b , x ) ) → ∃ y ∃ y SameRow ( c , d )","if for all x , if a is a prime , then b is in the same column as x , then there is an element y such that there is an element y such that c is in the same row as d"
82,"¬ ¬ ( Medium ( a ) ∨ FrontOf ( a , b ) )",it is not the case that it is not the case that a is medium or in front of b
83,"Student ( a ) ∧ ( ¬ Adjoins ( b , b ) → ∀ x Dodec ( x ) )","all these hold : \n\t• a is a student \n\t• if b is not adjacent to b , then for all x , x is a dodecahedron"
84,"∃ x ∀ x Prime ( x ) ∨ ∃ x ( BackOf ( x , x ) → Small ( x ) )","there is an element x such that for all x , x is a prime or there is an element x such that if x is in back of itself , then x is small"
85,"Small ( a ) ∨ ∀ x ( Cube ( x ) ∨ LeftOf ( b , x ) )","a is small or for all x , x is a cube or b is to the left of x"
86,"SameSize ( a , b ) → ( ( Prime ( a ) ∨ FrontOf ( b , a ) ) ∨ ( Small ( a ) → Dodec ( b ) ) )","if a is of the same size as b , then at least one of these holds : \n\t• a is a prime , b is in front of a \n\t• if a is small , then b is a dodecahedron"
87,"( ( Prime ( a ) ∨ Small ( b ) ) ∨ ∃ x Student ( b ) ) ∧ ¬ ( RightOf ( b , c ) ∧ LeftOf ( d , d ) )","all these hold : \n\t• a is a prime , b is small or there is an element x such that b is a student \n\t• it is not the case that b is to the right of c and d is to the left of itself"
88,"∀ x ( ( Large ( a ) → Large ( a ) ) ∨ ( RightOf ( b , b ) → Student ( c ) ) )","for all x , at least one of these holds : \n\t• if a is large , then a is large \n\t• if b is to the right of itself , then c is a student"
89,"¬ Even ( a ) ∨ Smaller ( a , b )",a is not even or a is smaller than b
90,∀ x ( ∃ y Cube ( a ) ∧ Small ( a ) ),"for all x , there is an element y such that a is a cube and a is small"
91,"Dodec ( a ) ∧ ( ( Person ( b ) → Cube ( c ) ) → ( Medium ( a ) ∨ Adjoins ( d , d ) ) )","all these hold : \n\t• a is a dodecahedron \n\t• if if b is a person , then c is a cube , then a is medium or d is adjacent to itself"
92,∃ x ( Cube ( x ) ∧ Prime ( a ) ) → Student ( b ),"if there is a cube x such that a is a prime , then b is a student"
93,"Large ( a ) ∧ ( ( RightOf ( b , b ) ∨ Large ( b ) ) ∧ ∀ x Medium ( b ) )","all these hold : \n\t• a is large , b is to the right of itself or b is large \n\t• for all x , b is medium"
94,"¬ ∀ x Large ( a ) → ( ( SameCol ( a , b ) ∧ Smaller ( b , b ) ) → ∀ x Pet ( a ) )","if it is not the case that for all x , a is large , then if a is in the same column as b and b is smaller than itself , then for all x , a is a pet"
95,"∀ x ∀ x ( BackOf ( a , x ) → Dodec ( x ) )","for all x , for all x , if a is in back of x , then x is a dodecahedron"
96,"∀ x ( Even ( x ) ∨ Prime ( x ) ) ∧ SameShape ( a , b )","for all x , x is even or x is a prime and a is of the same shape as b"
97,¬ ∀ x ( Dodec ( x ) ∧ Medium ( x ) ),"it is not the case that for all x , x is a dodecahedron and x is medium"
98,∃ x ¬ ( Medium ( a ) ∧ Student ( b ) ),there is an element x such that it is not the case that a is medium and b is a student
99,"∀ x ( Even ( a ) ∨ Larger ( b , c ) ) ∨ ( BackOf ( a , c ) ∧ SameSize ( c , c ) )","at least one of these holds : \n\t• for all x , a is even or b is larger than c \n\t• a is in back of c and c is of the same size as itself"
100,∃ x ( Large ( x ) → Small ( x ) ) ∨ ∃ y ( Tet ( y ) ∧ Tet ( y ) ),"there is an element x such that if x is large , then x is small or some tetrahedron is a tetrahedron"
101,"∃ x ( FrontOf ( x , a ) ∨ Small ( a ) ) → ¬ Prime ( a )","if there is an element x such that x is in front of a or a is small , then a is not a prime"
102,¬ ( ∀ x Student ( a ) ∧ ¬ Small ( b ) ),"it is not the case that for all x , a is a student and b is not small"
103,"∃ x ( LeftOf ( x , a ) ∧ SameShape ( b , x ) ) ∨ ∃ x ¬ Smaller ( x , x )",there is an element x such that x is to the left of a and b is of the same shape as x or there is an element x such that x is not smaller than x
104,"∀ x ( ¬ Larger ( x , x ) → ( Student ( a ) ∨ Cube ( a ) ) )","for all x , if x is not larger than x , then a is a student or a is a cube"
105,"¬ LeftOf ( a , a ) ∧ ( ∃ x Cube ( x ) → ∀ x Smaller ( x , b ) )","all these hold : \n\t• a is not to the left of a \n\t• if there is an element x such that x is a cube , then for all x , x is smaller than b"
106,"¬ ( Even ( a ) → Medium ( b ) ) ∨ ( ∀ x Even ( x ) ∧ ( SameSize ( a , a ) ∨ Cube ( c ) ) )","it is not the case that if a is even , then b is medium or all these hold : \n\t• for all x , x is even \n\t• a is of the same size as itself or c is a cube"
107,"¬ ¬ BackOf ( a , a )",it is not the case that a is not in back of a
108,∀ x ∀ y Dodec ( y ) ∨ ( ¬ Large ( a ) → ∀ y Large ( y ) ),"at least one of these holds : \n\t• for all x , for all y , y is a dodecahedron \n\t• if a is not large , then for all y , y is large"
109,"( ∃ x SameRow ( a , x ) ∧ ( Student ( a ) ∧ Even ( a ) ) ) → Prime ( a )","if there is an element x such that a is in the same row as x , a is a student and a is even , then a is a prime"
110,Tet ( a ) → ( ( Large ( a ) ∨ Cube ( b ) ) ∨ ¬ Pet ( c ) ),"if a is a tetrahedron , then a is large , b is a cube or c is not a pet"
111,"¬ ( ∃ x Pet ( x ) ∨ ( Small ( a ) ∨ SameShape ( b , a ) ) )","it is not the case that there is an element x such that x is a pet , a is small or b is of the same shape as a"
112,"∃ x ∀ y ¬ Adjoins ( a , x )","there is an element x such that for all y , a is not adjacent to x"
113,∀ x ∃ y ( Large ( a ) → Medium ( x ) ),"for all x , there is an element y such that if a is large , then x is medium"
114,"∀ x ( ∃ y RightOf ( a , y ) ∧ ∀ x Student ( x ) )","for all x , there is an element y such that a is to the right of y and for all x , x is a student"
115,"( Small ( a ) ∨ ( Even ( b ) ∧ Person ( c ) ) ) ∨ ∃ x ( Even ( x ) ∧ Adjoins ( x , c ) )","at least one of these holds : \n\t• a is small , b is even and c is a person \n\t• there is an element x such that x is even and adjacent to c"
116,"¬ ¬ Smaller ( a , a ) → ¬ ∀ x Person ( a )","if it is not the case that a is not smaller than a , then it is not the case that for all x , a is a person"
117,∀ x ( ( Person ( a ) ∨ Large ( a ) ) → ¬ Prime ( x ) ),"for all x , if a is a person or a is large , then x is not a prime"
118,"∃ x ( ( RightOf ( a , a ) ∨ SameShape ( x , b ) ) ∨ ∃ y Person ( x ) )","there is an element x such that a is to the right of itself , x is of the same shape as b or there is an element y such that x is a person"
119,Large ( a ) → Pet ( b ),"if a is large , then b is a pet"
120,"¬ ( SameShape ( a , b ) ∨ ( SameSize ( b , a ) ∨ Person ( b ) ) )","it is not the case that a is of the same shape as b , b is of the same size as a or b is a person"
121,"¬ ( ( Smaller ( a , a ) → Medium ( a ) ) → ∀ x SameRow ( x , x ) )","it is not the case that if if a is smaller than itself , then a is medium , then for all x , x is in the same row as itself"
122,"∀ x ¬ Large ( a ) → RightOf ( b , a )","if for all x , a is not large , then b is to the right of a"
123,¬ Medium ( a ) ∨ ∀ x ∀ y Dodec ( a ),"a is not medium or for all x , for all y , a is a dodecahedron"
124,∀ x ∀ x ¬ Prime ( x ),"for all x , for all x , x is not a prime"
125,"( ( Dodec ( a ) ∨ Smaller ( b , b ) ) → ∀ x Cube ( x ) ) → ∃ y ( Even ( y ) ∧ Student ( c ) )","if if a is a dodecahedron or b is smaller than itself , then for all x , x is a cube , then there is an element y such that y is even and c is a student"
126,"∀ x ( ¬ BackOf ( x , x ) → ∀ y Cube ( a ) )","for all x , if x is not in back of x , then for all y , a is a cube"
127,"∃ x ∀ x LeftOf ( x , x ) ∧ ¬ ∀ x Tet ( x )","there is an element x such that for all x , x is to the left of itself and it is not the case that for all x , x is a tetrahedron"
128,¬ ∀ x Person ( x ) ∨ ∀ y ∃ z Tet ( a ),"it is not the case that for all x , x is a person or for all y , there is an element z such that a is a tetrahedron"
129,"( Student ( a ) → ∀ x LeftOf ( x , x ) ) → ∃ x Pet ( x )","if if a is a student , then for all x , x is to the left of itself , then there is an element x such that x is a pet"
130,"∃ x ∃ x Adjoins ( x , a )",there is an element x such that there is an element x such that x is adjacent to a
131,"¬ ( ∀ x SameRow ( a , a ) ∨ ( Even ( a ) ∨ Large ( b ) ) )","it is not the case that for all x , a is in the same row as itself , a is even or b is large"
132,∃ x ¬ Small ( x ) → ( ( Cube ( a ) ∧ Medium ( b ) ) ∨ ∀ x Person ( a ) ),"if there is an element x such that x is not small , then at least one of these holds : \n\t• a is a cube and b is medium \n\t• for all x , a is a person"
133,"( ( RightOf ( a , a ) → Pet ( a ) ) ∧ ( Tet ( a ) ∨ Large ( a ) ) ) ∨ ∀ x ∃ x Tet ( a )","all these hold : \n\t• if a is to the right of itself , then a is a pet \n\t• a is a tetrahedron or a is large or for all x , there is an element x such that a is a tetrahedron"
134,"¬ ( ( Tet ( a ) ∨ SameCol ( a , b ) ) ∧ ( SameSize ( a , c ) ∧ Larger ( b , c ) ) )","it is not the case that all these hold : \n\t• a is a tetrahedron or a is in the same column as b , a is of the same size as c \n\t• b is larger than c"
135,"∃ x ( ∀ x Smaller ( a , b ) ∨ ∀ x Medium ( x ) )","there is an element x such that for all x , a is smaller than b or for all x , x is medium"
136,"∀ x ∀ x SameSize ( a , x ) → ∀ y ( Adjoins ( a , a ) → Medium ( a ) )","if for all x , for all x , a is of the same size as x , then for all y , if a is adjacent to itself , then a is medium"
137,"∀ x ( ∀ y BackOf ( a , x ) → ∃ y Large ( b ) )","for all x , if for all y , a is in back of x , then there is an element y such that b is large"
138,∃ x ( ∃ x Pet ( x ) ∧ Small ( a ) ),there is an element x such that there is an element x such that x is a pet and a is small
139,Large ( a ) ∨ Medium ( a ),a is large or medium
140,∃ x ( ( Even ( x ) ∨ Even ( x ) ) → Medium ( a ) ),"there is an element x such that if x is even or even , then a is medium"
141,"∀ x ∀ y ¬ RightOf ( a , b )","for all x , for all y , a is not to the right of b"
142,"∀ x Prime ( a ) ∨ ( ¬ SameSize ( b , a ) ∧ ( Smaller ( b , a ) ∧ BackOf ( b , c ) ) )","at least one of these holds : \n\t• for all x , a is a prime \n\t• b is not of the same size as a , b is smaller than a and b is in back of c"
143,"Dodec ( a ) ∧ ( ( SameRow ( a , b ) ∧ LeftOf ( c , b ) ) ∧ ( Tet ( d ) ∧ Medium ( e ) ) )","a is a dodecahedron , a is in the same row as b , c is to the left of b , d is a tetrahedron and e is medium"
144,"FrontOf ( a , b ) → ∀ x ( Pet ( x ) ∨ RightOf ( x , b ) )","if a is in front of b , then for all x , x is a pet or x is to the right of b"
145,"( ∀ x Medium ( a ) ∨ ( Large ( a ) ∧ Small ( b ) ) ) ∧ ∃ y ( Even ( y ) → SameShape ( b , c ) )","at least one of these holds : \n\t• for all x , a is medium \n\t• a is large and b is small and there is an element y such that if y is even , then b is of the same shape as c"
146,"¬ Dodec ( a ) ∨ ( BackOf ( a , b ) → Dodec ( c ) )","at least one of these holds : \n\t• a is not a dodecahedron \n\t• if a is in back of b , then c is a dodecahedron"
147,( ∃ x Prime ( x ) ∨ ( Prime ( a ) ∧ Medium ( b ) ) ) ∧ ∃ x ( Student ( b ) → Student ( b ) ),"at least one of these holds : \n\t• there is an element x such that x is a prime \n\t• a is a prime and b is medium and there is an element x such that if b is a student , then b is a student"
148,Small ( a ) → ( ( Small ( a ) ∨ Prime ( b ) ) ∨ Person ( c ) ),"if a is small , then a is small , b is a prime or c is a person"
149,"∃ x ¬ ∀ y FrontOf ( a , b )","there is an element x such that it is not the case that for all y , a is in front of b"
150,∃ x ( Student ( x ) ∧ ¬ Student ( a ) ),there is a student x such that a is not a student
151,"∃ x ∀ y Larger ( a , x ) ∨ ∃ x ∃ z Large ( x )","there is an element x such that for all y , a is larger than x or there is an element x such that there is an element z such that x is large"
152,"∀ x ¬ ( Smaller ( x , x ) ∨ Adjoins ( x , a ) )","for all x , it is not the case that x is smaller than itself or x is adjacent to a"
153,"∃ x ( Large ( x ) ∧ Prime ( a ) ) → ¬ ∀ x Smaller ( x , a )","if there is an element x such that x is large and a is a prime , then it is not the case that for all x , x is smaller than a"
154,¬ ∀ x Medium ( a ) ∨ ¬ ( Medium ( a ) → Person ( b ) ),"it is not the case that for all x , a is medium or it is not the case that if a is medium , then b is a person"
155,¬ ∀ x Pet ( x ) ∧ ( ( Student ( a ) → Pet ( a ) ) ∧ ( Prime ( b ) → Medium ( b ) ) ),"all these hold : \n\t• it is not the case that for all x , x is a pet , if a is a student , then a is a pet \n\t• if b is a prime , then b is medium"
156,"∀ x ¬ ( LeftOf ( x , a ) → SameShape ( x , x ) )","for all x , it is not the case that if x is to the left of a , then x is of the same shape as itself"
157,"∃ x FrontOf ( x , a )",there is an element x such that x is in front of a
158,"∀ x ∀ y LeftOf ( a , a ) → Tet ( b )","if for all x , for all y , a is to the left of itself , then b is a tetrahedron"
159,"( ¬ Person ( a ) → ( SameSize ( a , a ) → Cube ( b ) ) ) ∧ ∃ x ¬ BackOf ( x , x )","all these hold : \n\t• if a is not a person , then if a is of the same size as itself , then b is a cube \n\t• there is an element x such that x is not in back of x"
160,∃ x ¬ Even ( a ) ∧ ¬ Small ( a ),there is an element x such that a is not even and a is not small
161,∃ x ∃ y ∃ x Pet ( a ),there is an element x such that there is an element y such that there is an element x such that a is a pet
162,"∀ x ∃ y Cube ( x ) ∧ ( ¬ SameShape ( a , b ) ∨ ∃ x Dodec ( x ) )","all these hold : \n\t• for all x , there is an element y such that x is a cube \n\t• a is not of the same shape as b or there is an element x such that x is a dodecahedron"
163,"¬ ( ( Large ( a ) → SameShape ( a , a ) ) → ( LeftOf ( b , b ) ∨ Small ( c ) ) )","it is not the case that if if a is large , then a is of the same shape as itself , then b is to the left of itself or c is small"
164,¬ Medium ( a ) → ( ( Medium ( a ) → Small ( a ) ) ∧ ∀ x Dodec ( x ) ),"if a is not medium , then all these hold : \n\t• if a is medium , then a is small \n\t• for all x , x is a dodecahedron"
165,"∃ x Medium ( x ) ∨ ( ¬ BackOf ( a , a ) ∧ ( Student ( a ) ∨ Medium ( b ) ) )",there is an element x such that x is medium or all these hold : \n\t• a is not in back of a \n\t• a is a student or b is medium
166,"( ( Adjoins ( a , a ) ∧ Larger ( a , a ) ) ∨ FrontOf ( a , a ) ) ∨ ∀ x Medium ( b )","at least one of these holds : \n\t• a is adjacent to itself and a is larger than itself , a is in front of itself \n\t• for all x , b is medium"
167,"Dodec ( a ) ∨ ∃ x ∀ x FrontOf ( x , a )","a is a dodecahedron or there is an element x such that for all x , x is in front of a"
